$ PRE_CELL 300000
$ POST_CELL 301000
$ NCONNECTIONS 310
810 2676 3000001
2254 4720 3000002
21338 3892 3000003
15143 620 3000004
9416 744 3000005
12376 3211 3000006
4404 10703 3000007
2853 8377 3000008
17825 556 3000009
2748 6279 3000010
8065 8896 3000011
14066 759 3000012
6068 7453 3000013
22117 11888 3000014
4291 9635 3000015
6224 1783 3000016
12590 5590 3000017
7887 8273 3000018
5432 1651 3000019
8578 9948 3000020
12349 1797 3000021
3783 8821 3000022
19871 742 3000023
21955 8202 3000024
17783 2602 3000025
4288 9836 3000026
445 2727 3000027
6137 4606 3000028
17783 2749 3000029
16473 3652 3000030
18827 1293 3000031
16843 9993 3000032
10850 6057 3000033
5555 6204 3000034
12120 1829 3000035
16854 9071 3000036
5270 829 3000037
8785 4992 3000038
11332 8381 3000039
3463 5217 3000040
6742 7349 3000041
5755 3128 3000042
16352 8861 3000043
10362 1125 3000044
11308 11135 3000045
19062 1279 3000046
635 3322 3000047
13080 5831 3000048
8095 7869 3000049
16804 6244 3000050
8269 6065 3000051
6971 925 3000052
15946 6351 3000053
16476 4414 3000054
15386 9109 3000055
14599 1070 3000056
17388 636 3000057
3624 422 3000058
6242 5359 3000059
5011 5641 3000060
16366 6372 3000061
18313 6529 3000062
1190 5214 3000063
4122 250 3000064
6875 1832 3000065
15806 1409 3000066
458 7088 3000067
11503 865 3000068
14338 8499 3000069
3941 5249 3000070
16336 6662 3000071
1876 6899 3000072
21161 11220 3000073
2844 9221 3000074
19311 12420 3000075
2982 7390 3000076
14961 2176 3000077
4193 2630 3000078
1550 6838 3000079
21210 3217 3000080
7259 6787 3000081
19576 11575 3000082
4045 2629 3000083
12257 2150 3000084
16893 2572 3000085
4219 9198 3000086
17990 6529 3000087
16455 1409 3000088
17000 1020 3000089
14741 1119 3000090
698 5026 3000091
15003 3928 3000092
2395 1456 3000093
1409 149 3000094
13302 1259 3000095
18057 6451 3000096
18776 1293 3000097
12497 5393 3000098
5273 8790 3000099
14763 6732 3000100
5375 5249 3000101
2522 4773 3000102
19819 6547 3000103
8466 8381 3000104
18523 1358 3000105
12134 655 3000106
21848 1337 3000107
8358 10217 3000108
2288 8311 3000109
19615 2042 3000110
20466 11198 3000111
4391 5816 3000112
11916 6260 3000113
5297 7402 3000114
3810 5790 3000115
3851 4705 3000116
14796 4612 3000117
9409 970 3000118
8268 4962 3000119
7075 5867 3000120
2279 9041 3000121
18296 11336 3000122
15389 9258 3000123
601 3814 3000124
5623 3257 3000125
13637 1790 3000126
7697 5868 3000127
17882 122 3000128
10615 6780 3000129
9025 5235 3000130
9903 4677 3000131
9903 4770 3000132
15993 1427 3000133
15540 4416 3000134
13706 5397 3000135
953 765 3000136
10295 2559 3000137
698 5994 3000138
19239 8628 3000139
4898 6792 3000140
13897 1574 3000141
5978 7406 3000142
22462 1065 3000143
14791 5239 3000144
13690 5223 3000145
15084 11667 3000146
3301 3756 3000147
3598 1465 3000148
18368 2755 3000149
3386 9873 3000150
21194 9646 3000151
21307 11441 3000152
2588 5265 3000153
1620 9157 3000154
19819 6653 3000155
18923 5951 3000156
145 79 3000157
4385 5809 3000158
7472 7506 3000159
4621 251 3000160
18940 6541 3000161
21858 7523 3000162
22135 10375 3000163
14399 6465 3000164
2912 9490 3000165
6722 6417 3000166
18264 4433 3000167
1811 119 3000168
19931 2502 3000169
1701 3807 3000170
8195 634 3000171
15807 1555 3000172
15816 2264 3000173
9308 5738 3000174
7444 4275 3000175
445 2274 3000176
14158 3844 3000177
17863 7191 3000178
2956 1327 3000179
8176 5488 3000180
19059 637 3000181
19540 1420 3000182
14429 1259 3000183
4699 929 3000184
15877 8180 3000185
4806 6817 3000186
16454 1236 3000187
8094 9921 3000188
8494 7449 3000189
5533 5146 3000190
17049 556 3000191
3640 382 3000192
14463 2790 3000193
10605 4771 3000194
2812 2497 3000195
16883 1428 3000196
5200 1122 3000197
2108 8370 3000198
21084 12383 3000199
16440 2643 3000200
145 73 3000201
5110 4026 3000202
17216 6958 3000203
21826 9362 3000204
16365 6369 3000205
11364 6780 3000206
10095 546 3000207
6125 6302 3000208
15899 5719 3000209
15749 3700 3000210
7607 925 3000211
15018 2182 3000212
7343 8762 3000213
19486 6126 3000214
14338 8173 3000215
7474 7372 3000216
12672 2169 3000217
7941 6581 3000218
17017 2745 3000219
18771 1098 3000220
14525 10814 3000221
9641 2703 3000222
11698 4988 3000223
12411 3155 3000224
11626 1550 3000225
2185 4298 3000226
11997 6943 3000227
12773 4580 3000228
20792 1121 3000229
17678 1884 3000230
4871 2443 3000231
1975 10525 3000232
7576 560 3000233
695 5994 3000234
14020 619 3000235
17955 4325 3000236
7256 7784 3000237
11202 3247 3000238
452 7153 3000239
12530 8693 3000240
16903 4413 3000241
18307 4692 3000242
20487 3683 3000243
7578 1001 3000244
12369 3006 3000245
14349 7476 3000246
167 57 3000247
18769 1292 3000248
17168 3538 3000249
19316 11542 3000250
19684 659 3000251
16773 9265 3000252
20329 11982 3000253
17277 2717 3000254
4153 4984 3000255
1797 4785 3000256
7701 6737 3000257
13345 2101 3000258
21913 12513 3000259
12405 1198 3000260
12950 2655 3000261
3933 9871 3000262
7202 11329 3000263
3834 10255 3000264
14925 8682 3000265
7160 3255 3000266
18154 3074 3000267
12480 4281 3000268
4147 7793 3000269
10093 546 3000270
522 5993 3000271
18107 11664 3000272
19470 2784 3000273
11364 6944 3000274
16367 6371 3000275
11411 6253 3000276
4591 3580 3000277
7775 3828 3000278
9032 4320 3000279
598 1777 3000280
7995 9948 3000281
8896 2560 3000282
13644 5907 3000283
19224 6541 3000284
603 6080 3000285
5011 6204 3000286
17669 1557 3000287
8717 2172 3000288
6938 3135 3000289
10374 3163 3000290
8932 1421 3000291
926 2213 3000292
3370 9257 3000293
14590 1852 3000294
4620 184 3000295
19514 7545 3000296
20252 4087 3000297
17698 5083 3000298
1974 10928 3000299
16739 3054 3000300
15721 11095 3000301
15072 11205 3000302
19966 11576 3000303
8204 11582 3000304
8243 11536 3000305
15595 11024 3000306
15593 11205 3000307
21239 10865 3000308
20331 11420 3000309
15594 11205 3000310
