$ PRE_CELL 301000
$ POST_CELL 300000
$ NCONNECTIONS 320
467 7577 3000321
4591 18671 3000322
5174 12609 3000323
1476 9632 3000324
3806 4837 3000325
6805 2748 3000326
3035 16276 3000327
4908 18237 3000328
4765 13780 3000329
8314 1987 3000330
1525 4539 3000331
5544 16029 3000332
1258 13302 3000333
11305 18295 3000334
1093 12322 3000335
10827 7626 3000336
8790 4219 3000337
6802 4087 3000338
3027 9729 3000339
11423 8808 3000340
6763 17613 3000341
2717 17166 3000342
9113 2967 3000343
796 307 3000344
1614 10191 3000345
7947 7886 3000346
6437 17975 3000347
6837 1741 3000348
5234 8055 3000349
1557 16452 3000350
3073 17796 3000351
12168 21083 3000352
1304 16122 3000353
5063 19546 3000354
3914 16714 3000355
6935 7253 3000356
4149 20551 3000357
6431 11409 3000358
5204 2182 3000359
4675 9835 3000360
1454 2392 3000361
2041 19352 3000362
6529 17599 3000363
4125 17308 3000364
8315 4262 3000365
1920 5072 3000366
9528 6095 3000367
5267 3367 3000368
4901 16834 3000369
6725 5302 3000370
6421 10618 3000371
4114 13215 3000372
2153 10961 3000373
3220 16724 3000374
1115 13592 3000375
7300 11260 3000376
8745 2124 3000377
2755 18370 3000378
4720 2148 3000379
1020 15643 3000380
1296 10418 3000381
3067 17441 3000382
8467 16316 3000383
5727 13780 3000384
9041 1985 3000385
3139 1599 3000386
7994 13674 3000387
9176 6532 3000388
6834 2976 3000389
6940 10618 3000390
3496 13542 3000391
2176 14210 3000392
6531 17990 3000393
4277 13825 3000394
9820 20005 3000395
4100 17234 3000396
9992 16412 3000397
7300 11339 3000398
4805 11192 3000399
4461 16030 3000400
8703 10900 3000401
12417 21084 3000402
8414 9851 3000403
3534 6924 3000404
8850 12531 3000405
514 3235 3000406
11741 16546 3000407
8857 3406 3000408
1856 12258 3000409
3076 17434 3000410
2677 688 3000411
5415 15445 3000412
4435 17601 3000413
12107 20765 3000414
11950 16547 3000415
3139 2040 3000416
7593 453 3000417
1555 16285 3000418
5145 21637 3000419
1580 14735 3000420
970 8725 3000421
4770 10605 3000422
6065 6932 3000423
638 18459 3000424
189 6397 3000425
6529 17990 3000426
586 3628 3000427
3111 7693 3000428
6244 16809 3000429
3141 6346 3000430
4793 3851 3000431
9256 2994 3000432
2643 14753 3000433
4626 9787 3000434
11537 8855 3000435
4125 18060 3000436
483 20437 3000437
10830 21163 3000438
1296 9937 3000439
4114 14257 3000440
6337 8096 3000441
3935 18383 3000442
325 13484 3000443
11682 9486 3000444
661 13298 3000445
1454 2696 3000446
9071 16423 3000447
2967 18131 3000448
1766 11642 3000449
8817 10632 3000450
6472 9713 3000451
2311 11551 3000452
6428 12474 3000453
6010 10852 3000454
7728 3734 3000455
6725 5556 3000456
2755 18605 3000457
1467 5056 3000458
6628 458 3000459
5864 15527 3000460
2304 13623 3000461
1753 9578 3000462
2858 1411 3000463
4307 519 3000464
6361 2600 3000465
2335 11730 3000466
4086 20507 3000467
2165 3238 3000468
5414 16404 3000469
2141 14028 3000470
2309 10293 3000471
3654 15004 3000472
3196 16596 3000473
5059 17584 3000474
10230 9329 3000475
7087 458 3000476
5052 18236 3000477
8895 8060 3000478
686 6391 3000479
1597 5230 3000480
569 4139 3000481
5391 15426 3000482
6919 4598 3000483
9316 3014 3000484
6160 10497 3000485
4299 2185 3000486
4943 10566 3000487
7140 6435 3000488
2143 17030 3000489
11364 20575 3000490
10593 21016 3000491
4543 8339 3000492
7343 3926 3000493
7837 1769 3000494
646 5233 3000495
1453 2775 3000496
7207 15430 3000497
8467 14775 3000498
3222 19735 3000499
535 14194 3000500
8509 17197 3000501
1001 8193 3000502
566 4203 3000503
8204 20912 3000504
2148 11636 3000505
11204 15592 3000506
5488 7015 3000507
8748 4953 3000508
3786 8624 3000509
6108 19819 3000510
11384 11676 3000511
8753 2108 3000512
5211 12009 3000513
567 1608 3000514
5474 6339 3000515
1624 4086 3000516
1790 12403 3000517
4435 17234 3000518
1574 13897 3000519
3021 14145 3000520
11084 9541 3000521
5411 17622 3000522
4798 15262 3000523
2592 15227 3000524
1008 18127 3000525
2904 4739 3000526
4971 3674 3000527
7772 14788 3000528
4293 6076 3000529
2007 21286 3000530
7869 8357 3000531
5265 3365 3000532
4771 11280 3000533
