$ PRE_CELL 300000
$ POST_CELL 301000
$ NCONNECTIONS 320
18343 4692 3000001
5995 10702 3000002
5008 2898 3000003
12192 2655 3000004
15493 2176 3000005
13800 5837 3000006
16880 1429 3000007
16586 1853 3000008
3761 4357 3000009
3667 7801 3000010
7296 2444 3000011
6492 5359 3000012
5417 6821 3000013
5870 3543 3000014
20940 11080 3000015
5260 1820 3000016
18176 831 3000017
15842 9071 3000018
9301 3352 3000019
17287 1555 3000020
9412 546 3000021
3664 422 3000022
2634 7827 3000023
6466 854 3000024
12038 5225 3000025
1749 6837 3000026
4595 2857 3000027
2375 2398 3000028
16316 9071 3000029
12846 1872 3000030
18317 6530 3000031
1990 8746 3000032
16423 8657 3000033
13730 8182 3000034
7127 9299 3000035
467 2726 3000036
6072 6616 3000037
3956 11469 3000038
8156 2081 3000039
7874 5782 3000040
9459 1484 3000041
6974 268 3000042
21402 3711 3000043
3246 8774 3000044
2285 8745 3000045
4227 7402 3000046
6663 6785 3000047
18784 5248 3000048
2108 8813 3000049
8837 180 3000050
18995 3222 3000051
14635 11896 3000052
5598 1468 3000053
9797 9597 3000054
7255 8265 3000055
10888 2197 3000056
5188 4534 3000057
4700 1164 3000058
5111 3581 3000059
13443 289 3000060
21888 12513 3000061
16259 3964 3000062
12875 230 3000063
6431 3584 3000064
20707 2307 3000065
17016 3074 3000066
17992 6530 3000067
12984 3630 3000068
13825 3350 3000069
20547 6108 3000070
4726 9176 3000071
5011 5334 3000072
2251 9836 3000073
10506 4421 3000074
17165 3109 3000075
6411 1002 3000076
13612 1117 3000077
11541 2337 3000078
1619 8813 3000079
19824 7010 3000080
6659 6066 3000081
1217 2685 3000082
9946 10249 3000083
8122 6740 3000084
21496 10381 3000085
18402 5050 3000086
14963 2637 3000087
5241 1596 3000088
8494 7447 3000089
20180 483 3000090
6298 2535 3000091
20768 12366 3000092
1657 3372 3000093
4594 4983 3000094
4230 7729 3000095
17955 4206 3000096
1852 9157 3000097
10751 7879 3000098
20349 12047 3000099
18300 5575 3000100
7800 2350 3000101
13005 729 3000102
16334 6849 3000103
12864 232 3000104
19399 4756 3000105
17269 10140 3000106
19028 11938 3000107
8971 5481 3000108
3784 7908 3000109
13828 6427 3000110
20204 11543 3000111
18005 4809 3000112
17561 3107 3000113
8807 11579 3000114
5932 5869 3000115
12745 4074 3000116
15663 2140 3000117
271 1043 3000118
4772 4390 3000119
14433 1117 3000120
4087 7801 3000121
18802 3187 3000122
13893 662 3000123
13921 3296 3000124
16423 9071 3000125
19840 11439 3000126
14763 6732 3000127
11411 6429 3000128
7633 838 3000129
3571 9576 3000130
3934 9603 3000131
14788 6949 3000132
18880 2366 3000133
1326 4301 3000134
17036 5221 3000135
3256 9198 3000136
18920 11304 3000137
1865 7827 3000138
4598 7432 3000139
6328 1412 3000140
20667 11971 3000141
6719 6581 3000142
19292 4084 3000143
17345 7191 3000144
9438 854 3000145
8692 4985 3000146
7333 4345 3000147
7570 5478 3000148
7541 2818 3000149
11260 6421 3000150
11876 4754 3000151
16086 11973 3000152
3050 7907 3000153
16376 6437 3000154
6431 4515 3000155
18338 6666 3000156
16275 2110 3000157
4898 5810 3000158
17625 6666 3000159
3616 2690 3000160
12949 2707 3000161
6346 3141 3000162
12264 2130 3000163
17443 5219 3000164
10842 5001 3000165
9089 10249 3000166
6821 4733 3000167
21194 11175 3000168
7256 6934 3000169
3881 6374 3000170
3674 4524 3000171
13456 2427 3000172
10239 194 3000173
5181 3581 3000174
4025 9577 3000175
4196 3096 3000176
11337 7781 3000177
2631 7408 3000178
9404 2267 3000179
18969 4593 3000180
17183 11175 3000181
15227 2593 3000182
2924 9873 3000183
12134 541 3000184
3145 2409 3000185
19259 6124 3000186
17013 3186 3000187
12853 2292 3000188
16794 5077 3000189
19317 11542 3000190
11002 1611 3000191
16709 5083 3000192
13052 9568 3000193
3858 5281 3000194
19987 6653 3000195
12646 7259 3000196
15445 5060 3000197
3950 5790 3000198
18822 4258 3000199
9436 922 3000200
18402 5051 3000201
12689 871 3000202
10875 2559 3000203
4046 2630 3000204
2708 533 3000205
16195 11668 3000206
2714 505 3000207
10793 8458 3000208
5329 4142 3000209
221 4226 3000210
10256 11421 3000211
5551 3334 3000212
21535 4171 3000213
5052 3097 3000214
15419 5256 3000215
12580 9045 3000216
7252 6932 3000217
16016 4106 3000218
9618 1589 3000219
3861 8692 3000220
16710 5081 3000221
3984 2496 3000222
12611 5830 3000223
2283 8375 3000224
666 3810 3000225
7854 7834 3000226
20888 2307 3000227
10961 1550 3000228
22012 11847 3000229
1814 5699 3000230
9437 1274 3000231
2474 7909 3000232
20769 11080 3000233
6168 2913 3000234
16491 123 3000235
1574 2225 3000236
21088 11220 3000237
6168 3337 3000238
8382 8468 3000239
7540 3449 3000240
12353 2772 3000241
17427 2745 3000242
18916 2298 3000243
596 1959 3000244
17810 3193 3000245
7135 3336 3000246
7037 2535 3000247
4935 6382 3000248
5297 7353 3000249
3764 2036 3000250
17166 3107 3000251
20895 4087 3000252
8635 4745 3000253
21888 12482 3000254
9094 1355 3000255
14791 4276 3000256
17980 6244 3000257
16780 5575 3000258
6729 10752 3000259
3532 3861 3000260
6004 4724 3000261
12852 1852 3000262
21375 10381 3000263
8692 4526 3000264
15880 4886 3000265
2142 10454 3000266
3985 3716 3000267
10847 5004 3000268
4808 9487 3000269
14732 1401 3000270
13718 5393 3000271
20937 12061 3000272
20764 12167 3000273
14282 5594 3000274
1514 3807 3000275
12830 2294 3000276
7129 7727 3000277
16365 5785 3000278
348 793 3000279
9537 11682 3000280
13659 6465 3000281
8857 11037 3000282
