# 200_syn 300_syn
# num of data: 118
1157 19019
1157 19173
1157 19568
1157 19832
1157 19976
1157 20074
1157 20316
1158 19019
1158 19173
1158 19568
1158 19832
1158 19976
1158 20074
1158 20316
1162 13403
1162 13529
1162 13980
1162 14099
1162 14100
1162 14520
1162 14521
1162 14651
1162 14652
1162 15195
1162 15592
1162 15723
1162 16211
1162 16212
1162 16528
1163 19019
1163 19173
1163 19305
1163 19450
1163 19568
1163 19720
1163 19721
1163 19832
1163 19976
1163 20074
1163 20224
1163 20225
1163 20316
1166 19152
1166 19323
1166 19435
1166 19584
1166 19707
1166 19845
1166 19847
1166 19958
1166 19960
1166 20074
1166 20094
1166 20197
1166 20316
1166 20342
1166 20459
1167 13403
1167 13529
1167 13980
1167 14099
1167 14520
1167 14521
1167 14651
1167 14652
1167 16211
1167 16212
1167 16528
1170 13403
1170 13529
1170 13980
1170 14099
1170 14520
1170 14521
1170 14651
1170 14652
1170 16211
1170 16212
1171 13529
1171 13980
1171 14099
1171 14521
1171 14651
1171 14652
1174 13403
1174 13529
1174 13980
1174 14099
1174 14521
1174 14651
1175 13529
1175 13980
1175 14099
1175 14521
1175 14651
1178 13529
1178 13980
1178 14099
1178 14521
1178 14651
1179 13403
1179 13529
1179 13980
1179 14099
1179 14521
1179 14651
1182 13403
1182 13529
1182 13980
1182 14099
1182 14521
1182 14651
1183 13403
1183 13529
1183 13980
1183 14099
1183 14521
1183 14651
